date,description,amount
2024-01-15,Starbucks Coffee,-4.75
2024-01-15,Spotify Monthly,-9.99
2024-01-16,Uber ride to airport,-28.50
2024-01-16,Whole Foods Grocery,-67.32
2024-01-17,Netflix subscription,-15.49
2024-01-18,Shell Gas Station,-52.10
2024-01-18,Amazon - Kitchen supplies,-43.99
2024-01-19,Salary deposit,3500.00
2024-01-20,Chipotle lunch,-12.75
2024-01-21,Electric bill,-94.50
2024-01-22,Planet Fitness,-25.00
2024-01-23,Uber Eats dinner,-34.20
2024-01-24,CVS Pharmacy,-18.99
2024-01-25,Target shopping,-87.43
2024-01-26,Doctor visit copay,-30.00
2024-01-27,Restaurant dinner,-65.00
2024-01-28,Bus pass,-45.00
2024-01-29,Freelance payment,750.00
2024-01-30,Zara clothing,-120.00
2024-01-31,Internet bill,-59.99
